question_id,question,ground_truth,rag_type,rag_name,answer,contexts_count,faithfulness,answer_relevancy,context_precision,context_recall,average_score,input_tokens,output_tokens,total_tokens,cost,execution_time
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,simple,Simple Semantic RAG,"El inicio tardío de los controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación. Según el Documento 2, se recomienda que cuando una gestante inicie tardíamente su control prenatal, especialmente después de la semana 26, se realicen en su primer control todas las actividades recomendadas para los controles previos, así como aquellas que correspondan a la consulta actual. Esto sugiere que el inicio tardío se define a partir de este punto en el embarazo.",5,1.0,0.9757,0.0,0.0,0.494,765,109,874,0.003002,2.156
3,¿Cuándo se considera inicio tardío de controles prenatales?,después de la semana 16 – 18,hybrid,Hybrid RAG (BM25 + Semantic),"El inicio tardío de los controles prenatales se considera cuando una gestante comienza su control prenatal después de la semana 26 de gestación. En estos casos, se recomienda que en el primer control se realicen todas las actividades recomendadas para los controles previos, además de aquellas que correspondan a la consulta actual. Esto es importante para asegurar que se aborden todos los aspectos necesarios para el bienestar de la madre y el feto, a pesar del inicio tardío de la atención prenatal.",5,1.0,0.9603,0.0,0.0,0.49,870,101,971,0.003185,2.447
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,hyde,HyDE RAG (Hypothetical Documents),"La cantidad ideal de controles prenatales varía dependiendo de si la mujer es nulípara (es decir, si es su primer embarazo) o multípara (ha tenido embarazos previos) y si el embarazo es de curso normal. Según el contexto proporcionado:

1. **Para una mujer nulípara con un embarazo de curso normal**, se recomienda un programa de diez citas prenatales. Esto se debe a que un seguimiento más cercano puede ayudar a identificar y manejar cualquier complicación potencial de manera oportuna, asegurando así un embarazo saludable tanto para la madre como para el bebé.

2. **Para una mujer multípara con un embarazo de curso normal**, se recomienda un programa de siete citas prenatales. La experiencia previa de la mujer con embarazos puede permitir un número ligeramente reducido de citas, siempre y cuando el embarazo actual no presente complicaciones.

Es importante destacar que no se recomienda un programa de control prenatal con un número reducido de citas, ya que esto se asocia con un aumento de la mortalidad perinatal. Por lo tanto, es crucial seguir las recomendaciones establecidas para asegurar un monitoreo adecuado de la salud materna y fetal durante el embarazo.

Además, se enfatiza la importancia de proporcionar información adecuada y por escrito a las mujeres al inicio del embarazo sobre el número probable de citas, su duración y contenido, permitiendo así una planificación y discusión adecuada con el equipo de salud.",5,0.7692,0.9606,1.0,1.0,0.932,979,1001,1980,0.006026,11.837
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,simple,Simple Semantic RAG,"La cantidad ideal de controles prenatales para un embarazo de curso normal no se especifica de manera exacta en el contexto proporcionado. Sin embargo, se menciona que un esquema con un número mayor de controles, entre 10 a 12, podría ser igualmente eficaz en términos de mortalidad y morbilidad materna y neonatal, comparado con esquemas con un número reducido de controles. Además, se destaca que un número reducido de citas se asocia con un aumento de la mortalidad perinatal en países en vías de desarrollo.

Por lo tanto, aunque no se proporciona un número exacto, la evidencia sugiere que un esquema con alrededor de 10 a 12 controles prenatales podría ser considerado ideal para asegurar una supervisión efectiva de la salud de la mujer durante el embarazo y minimizar riesgos perinatales.",5,1.0,0.0,0.9167,0.0,0.479,769,170,939,0.003623,3.471
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,rewriter,Rewriter RAG (Multi-Query),"La cantidad ideal de controles prenatales para una gestante con un embarazo de curso normal no se especifica directamente en los Documentos 1 y 2. Sin embargo, se menciona que el control prenatal puede ser realizado por profesionales en enfermería capacitados o por médicos generales en embarazos de bajo riesgo o de curso normal, lo que sugiere que el seguimiento debe ser regular y adecuado para garantizar la salud de la madre y el feto. 

Detalles específicos del contexto:
- En embarazos de curso normal, el control prenatal puede ser realizado por profesionales en enfermería capacitados o por médicos generales (Documento 2).

Limitaciones de la información disponible:
- No se proporciona un número específico de controles prenatales en los Documentos 1 y 2.",8,0.8333,0.0,0.8056,0.0,0.41,350,127,477,0.000365,10.176
4,¿Cuál es la cantidad ideal de controles prenatales?,se recomienda un programa de diez citas. Para una mujer multípara con un embarazo de curso normal se recomienda un programa de siete citas,hybrid,Hybrid RAG (BM25 + Semantic),"El contexto proporcionado no ofrece una respuesta directa sobre la cantidad ideal de controles prenatales. Sin embargo, se menciona que un modelo de control prenatal con un número reducido de citas se asocia con un aumento de la mortalidad perinatal en países en vías de desarrollo (Documento 4). Esto sugiere que un número adecuado de controles prenatales es crucial para la salud materna y fetal.

Para proporcionar una respuesta más precisa, sería necesario contar con información específica sobre las recomendaciones actuales de las organizaciones de salud, como la Organización Mundial de la Salud (OMS) o guías nacionales de salud, que suelen establecer un número mínimo de visitas prenatales recomendadas para embarazos de curso normal. Estas recomendaciones generalmente se basan en evidencia que busca optimizar los resultados de salud tanto para la madre como para el bebé.

En ausencia de esta información específica en el contexto, se puede inferir que un enfoque más frecuente y regular en los controles prenatales es preferible para monitorear adecuadamente el bienestar materno y fetal, prevenir complicaciones y asegurar intervenciones oportunas cuando sea necesario.",5,0.8,0.0,0.5,0.0,0.325,955,224,1179,0.004627,5.023
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",simple,Simple Semantic RAG,"La valoración del riesgo psicosocial en los controles prenatales puede realizarse utilizando la escala ""Antenatal Psychosocial Health Assessment"" (ALPHA). Según el Documento 4, un estudio controlado comparó esta escala con la consulta rutinaria de control prenatal y encontró que la escala ALPHA identificó un mayor número de problemas psicosociales que el control prenatal de rutina, con un odds ratio (OR) de 1,8 y un intervalo de confianza (IC) del 95% entre 1,3 y 0. Esto sugiere que la escala ALPHA es una herramienta efectiva para la detección de factores de riesgo psicosociales durante el embarazo. Además, el contexto indica que la evaluación del riesgo psicosocial es un componente importante del control prenatal, y su implementación puede ayudar a identificar rápidamente a las mujeres que necesitan atención especializada.",5,0.875,0.8247,1.0,1.0,0.925,731,179,910,0.003618,2.971
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",hybrid,Hybrid RAG (BM25 + Semantic),"Para realizar la valoración de riesgo psicosocial en los controles prenatales, se recomienda utilizar herramientas estructuradas que permitan identificar de manera efectiva los factores de riesgo psicosociales. Según el contexto proporcionado, una de las herramientas mencionadas es la escala ""Antenatal Psychosocial Health Assessment"" (ALPHA). Esta escala ha demostrado ser más efectiva que la consulta rutinaria de control prenatal para la detección de problemas psicosociales, identificando un mayor número de estos problemas (OR=1,8; IC 95%= 1,3,0).

Además, se sugiere que la evaluación de riesgos psicosociales se realice de manera rutinaria durante el control prenatal, aunque no existe un consenso sobre si debe hacerse de manera informal o mediante una escala de clasificación de riesgo. Sin embargo, el uso de escalas como ALPHA puede facilitar la clasificación de las gestantes en categorías de riesgo, lo que permite una mejor planificación del cuidado prenatal.

Por lo tanto, se recomienda implementar la escala ALPHA en los controles prenatales para una evaluación más precisa de los riesgos psicosociales, garantizando así una atención adecuada y oportuna a las gestantes que lo requieran.",5,0.5455,0.8894,0.8042,1.0,0.81,914,250,1164,0.004785,4.44
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",hyde,HyDE RAG (Hypothetical Documents),"La información proporcionada en el contexto médico no especifica una herramienta particular para la valoración de riesgo psicosocial en los controles prenatales. Sin embargo, se menciona que no existe consenso sobre cómo explorar estos factores de riesgo, ya sea de manera informal o mediante una escala de clasificación de riesgo. Las escalas de riesgo podrían ser útiles para clasificar a las gestantes en categorías de bajo riesgo, pero no se detalla una herramienta específica.

Por lo tanto, la respuesta es que no hay información suficiente en el contexto proporcionado para identificar una herramienta específica para la valoración de riesgo psicosocial en los controles prenatales. Se sugiere que la evaluación se realice de manera rutinaria y que, si se identifica un riesgo, se remita a la gestante a una consulta especializada para garantizar la continuidad del cuidado.",5,1.0,0.0,1.0,1.0,0.75,938,689,1627,0.004405,9.054
5,¿Con cuál herramienta realizo la valoración de riesgo psico social en los controles prenatales?,"Se recomienda que las gestantes de bajo riesgo reciban en el momento de la inscripción al control prenatal, y luego en cada trimestre, una valoración de riesgo psicosocial",rewriter,Rewriter RAG (Multi-Query),"No existe consenso sobre qué instrumento debe usarse para la valoración de riesgo psicosocial en los controles prenatales. Sin embargo, se recomienda que la detección de violencia se realice por medio de una entrevista en todas las consultas de control prenatal. Además, se menciona que las gestantes de bajo riesgo deben recibir una valoración de riesgo psicosocial al momento de la inscripción al control prenatal y luego en cada trimestre.",8,1.0,0.0,0.9094,1.0,0.727,383,237,620,0.000547,5.82
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,simple,Simple Semantic RAG,"La valoración de riesgo psicosocial en el seguimiento de una gestante debe realizarse de manera rutinaria durante el control prenatal. Según el contexto proporcionado, se recomienda que esta valoración se lleve a cabo en el momento de la inscripción al control prenatal y luego en cada trimestre del embarazo. Esto implica que la evaluación debe realizarse al menos tres veces durante el embarazo: una vez al inicio del control prenatal y posteriormente una vez en cada trimestre. Si se identifica algún riesgo psicosocial, la gestante debe ser remitida a una consulta especializada para garantizar la continuidad del cuidado con el grupo a cargo del control prenatal. Además, se sugiere evaluar específicamente el estrés materno crónico, la ansiedad, los trastornos del sueño, el pobre apoyo de la red social y realizar un tamizaje para la depresión materna trimestralmente, ya que estos factores están asociados con desenlaces adversos del embarazo, como el parto pretérmino y el bajo peso al nacer.",5,1.0,0.9634,1.0,1.0,0.991,750,200,950,0.003875,4.276
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,hybrid,Hybrid RAG (BM25 + Semantic),"La valoración de riesgo psicosocial en el seguimiento de una gestante debe realizarse de manera rutinaria durante el control prenatal. Según el contexto proporcionado, se recomienda que las gestantes de bajo riesgo reciban una valoración de riesgo psicosocial en el momento de la inscripción al control prenatal y luego en cada trimestre del embarazo. Esto implica que la evaluación debe realizarse al menos tres veces durante el embarazo: una vez al inicio del control prenatal y posteriormente una vez en cada trimestre.

Además, es importante que si se identifica algún riesgo psicosocial, la gestante sea remitida a una consulta especializada para garantizar la continuidad del cuidado con el grupo a cargo del control prenatal. La evaluación debe incluir factores como el estrés materno crónico, la ansiedad, los trastornos del sueño, el pobre apoyo de la red social y la depresión materna, ya que estos pueden influir en desenlaces adversos del embarazo, como el parto pretérmino y el bajo peso al nacer.

En resumen, la valoración de riesgo psicosocial debe realizarse al inicio del control prenatal y repetirse trimestralmente, con un enfoque en la identificación y manejo de factores de riesgo psicosociales que puedan afectar el bienestar de la madre y el bebé.",5,1.0,0.9456,1.0,1.0,0.986,953,254,1207,0.004922,5.814
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,rewriter,Rewriter RAG (Multi-Query),La valoración de riesgo psicosocial en el seguimiento de una materna debe realizarse al momento de la inscripción al control prenatal y luego en cada trimestre del embarazo.,8,1.0,0.9861,0.826,1.0,0.953,374,252,626,0.000565,5.359
6,¿Cuándo realizar la valoración de riesgo psico social en el seguimiento de una materna?,Se recomienda evaluar el riesgo biológico y psicosocial a todas las gestantes mediante la escala de Herrera & Hurtado,hyde,HyDE RAG (Hypothetical Documents),"La valoración de riesgo psicosocial en el seguimiento de una gestante debe realizarse de manera sistemática y periódica durante el control prenatal. Según el contexto proporcionado, se recomienda que esta valoración se lleve a cabo en varios momentos clave del embarazo:

1. **Al momento de la inscripción al control prenatal**: Es importante realizar una primera valoración de riesgo psicosocial cuando la gestante se inscribe para el control prenatal. Esto permite identificar desde el inicio cualquier factor de riesgo que pueda requerir atención especializada.

2. **Trimestralmente durante el embarazo**: Se sugiere que la valoración de riesgo psicosocial se repita en cada trimestre del embarazo. Esto incluye la evaluación de factores como el estrés materno crónico, la ansiedad, los trastornos del sueño, el pobre apoyo de la red social y la depresión materna. La identificación de estos factores es crucial, ya que pueden influir en desenlaces adversos como el parto pretérmino y el bajo peso al nacer.

3. **Evaluación de violencia**: Además, se recomienda que en todas las consultas de control prenatal se realice una entrevista para detectar situaciones de violencia, lo cual es un componente importante del riesgo psicosocial.

En caso de identificar algún riesgo psicosocial, se debe remitir a la gestante a una consulta especializada, asegurando la continuidad del cuidado con el grupo a cargo del control prenatal. Esta estrategia permite una intervención oportuna y adecuada para mitigar los riesgos asociados y mejorar los desenlaces del embarazo.",5,1.0,0.9634,1.0,0.0,0.741,947,874,1821,0.005935,10.103
7,¿Cada cuanto se realiza el tamizaje para depresión posparto durante el embarazo?,"Se recomienda que, en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se identifique el riesgo de depresión postparto",simple,Simple Semantic RAG,"El tamizaje para la depresión posparto durante el embarazo se recomienda realizar trimestralmente. Según el Documento 2, se sugiere identificar la depresión materna mediante un tamizaje trimestral durante el control prenatal. Además, el Documento 4 menciona que en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se debe identificar el riesgo de depresión posparto. Esto indica que el tamizaje se realiza en diferentes momentos clave del embarazo para asegurar una atención adecuada y prevenir complicaciones asociadas.",5,1.0,0.9757,1.0,1.0,0.994,736,119,855,0.00303,3.271
7,¿Cada cuanto se realiza el tamizaje para depresión posparto durante el embarazo?,"Se recomienda que, en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se identifique el riesgo de depresión postparto",rewriter,Rewriter RAG (Multi-Query),El tamizaje para depresión posparto durante el embarazo se recomienda realizar trimestralmente durante el control prenatal.,8,1.0,0.9765,1.0,1.0,0.994,371,254,625,0.000566,5.255
7,¿Cada cuanto se realiza el tamizaje para depresión posparto durante el embarazo?,"Se recomienda que, en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se identifique el riesgo de depresión postparto",hyde,HyDE RAG (Hypothetical Documents),"Según la información proporcionada en el contexto médico, se recomienda realizar un tamizaje para identificar el riesgo de depresión posparto en varios momentos durante el embarazo. Específicamente, se sugiere que este tamizaje se lleve a cabo en cada trimestre del embarazo. Además, se menciona que en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio, se debe identificar el riesgo de depresión posparto mediante preguntas específicas. Por lo tanto, el tamizaje para depresión posparto se realiza trimestralmente durante el control prenatal.",5,1.0,0.9649,1.0,1.0,0.991,1006,696,1702,0.004236,7.918
7,¿Cada cuanto se realiza el tamizaje para depresión posparto durante el embarazo?,"Se recomienda que, en el primer control prenatal, en la semana 28 de gestación y en la consulta de puerperio se identifique el riesgo de depresión postparto",hybrid,Hybrid RAG (BM25 + Semantic),"Según el contexto proporcionado, se recomienda realizar un tamizaje trimestral para identificar la depresión materna durante el control prenatal. Esto implica que el tamizaje para la depresión posparto se llevaría a cabo una vez en cada trimestre del embarazo. Esta práctica es importante porque las mujeres que experimentan depresión durante el embarazo tienen un mayor riesgo de parto pretérmino y de tener un bebé con bajo peso al nacer. Por lo tanto, el tamizaje regular permite una identificación temprana y la posibilidad de intervenir adecuadamente para mitigar estos riesgos.",5,0.5,0.9607,1.0,1.0,0.865,856,117,973,0.00331,3.47
8,¿Cuál es la probabilidad de parto vaginal luego de una cesárea?,La probabilidad de parto vaginal es de 74% luego de una cesárea sin otros riesgos asociados.,hybrid,Hybrid RAG (BM25 + Semantic),"La probabilidad de lograr un parto vaginal después de una cesárea (conocido como VBAC, por sus siglas en inglés) es del 74% según la información proporcionada en el contexto médico. Este porcentaje se refiere a mujeres que optan por una prueba de trabajo de parto después de haber tenido una cesárea previa. 

Es importante considerar varios factores que pueden influir en la probabilidad de éxito de un VBAC:

1. **Parto Vaginal Previo**: Las mujeres que han tenido un parto vaginal previo tienen una mayor probabilidad de éxito en un VBAC, con un odds ratio (OR) que varía entre 1.83 y 28.

2. **Inducción del Parto**: El 63% de las mujeres que recibieron inducción del parto lograron un parto vaginal.

3. **Índice de Masa Corporal (IMC)**: Entre el 52% y el 70% de las mujeres con un IMC menor de 40 lograron un parto vaginal.

4. **Peso Fetal Estimado**: La probabilidad de un VBAC es menor cuando el peso fetal estimado es mayor a 4 kg.

5. **Raza**: Las mujeres de raza hispana o afro-descendiente tienen una menor frecuencia de VBAC en comparación con otras mujeres gestantes.

La decisión de intentar un VBAC debe ser cuidadosamente evaluada por el equipo médico, considerando los beneficios y riesgos potenciales tanto para la madre como para el feto. La evidencia sugiere que el trabajo de parto después de una cesárea previa es una opción razonable y segura, con riesgos de resultados adversos maternos y neonatales similares a otras opciones. 

Es recomendable que las mujeres con antecedentes de cesárea sin otros factores de riesgo sean atendidas en una institución de baja complejidad y sean remitidas para valoración especializada alrededor de la semana 32 de gestación.",5,1.0,0.9879,0.95,1.0,0.984,968,402,1370,0.00644,7.272
